Thickness,Temp1In,Temp1Out,Temp2In,Temp2Out,Fluid1,Fluid2,Q,Qr,Lmtd,Theta1,Theta2,m1,m2,dP1,dP2,V1In,V2In,A,M,Ae,Me,NP
0.39999998,65,57,50,64.830559,19,39,684.03027,228.01007,1.8355997,4.3582487,8.0794077,42.990002,23.535999,71.398109,15.937502,0.33167839,0.18412381,811.5,0,805.5,0.000523142,541
0.39999998,32,19,15,31.354059,2002,42,640.70404,160.17601,1.839512,7.0670919,8.8904333,12.895,21.152,2.0490232,64.646683,0.38217932,0.76122212,258,0,257,0.002695432,516
0.39999998,27,19,15,26.3466,15,1,1681.2382,1681.238,1.8470525,4.3312249,6.1430845,49.984001,35.356998,24.928452,13.180641,2.8421299,2.0097251,319.91998,19,318.67999,19.251415,516
0.39999998,75,61,55,74.730164,17,44,1280.332,256.06638,1.8474275,7.5781054,10.679804,43.686001,32.723,87.754013,52.671848,0.54936033,0.42898166,341,2,339.76001,2.0200438,550
0.39999998,53,67,72,53.430229,9,41,1351.0652,225.17752,1.8630263,7.5146551,9.9675303,49.042,36.813999,15.821201,8.1518507,0.19205903,0.14456782,853.5,0,847.5,0.000805685,569
0.39999998,66,53,50,64.939178,18,18,862.8913,123.27019,1.8653684,6.9691329,8.0087013,33.462002,29.224001,61.516426,56.778339,0.31034961,0.27083096,364.56,0,363.32001,-0.000109557,588
0.39999998,67,56,50,66.714424,17,19,1149.1595,287.28989,1.8766538,5.8614969,8.9065037,49.903999,34.73,40.148022,62.724911,0.28239885,0.20121092,883.5,0,874.5,-0.002793456,589
0.39999998,60,53,50,58.919529,21,3,695.92371,115.98727,1.8796518,3.7240942,4.7453094,47.491001,18.546,38.039276,0.12624882,0.4976742,0.17806648,329.22,0,327.98001,-0.004545234,531
0.39999998,67,76,80,67.692612,11,37,823.15375,411.57687,1.8860776,4.7718077,6.5253878,22.223,33.254002,12.078879,89.690872,1.4871757,2.4592233,183.5,0,182.5,0.002737388,367
0.39999998,61,72,77,61.44976,1,35,1045.4569,348.4856,1.8892592,5.8223877,8.2308664,22.757999,33.669998,10.304237,88.925217,0.98961669,1.657286,200,12,199,11.767269,400
0.39999998,76,66,60,75.707367,36,9,671.5238,223.84128,1.8894842,5.29245,8.3130445,33.536999,21.457001,77.80349,48.422527,0.73326242,0.4690671,288.91998,0,287.67999,0.012807162,466
0.39999998,39,34,28,38.706749,14,140,971.95074,971.95074,1.8906,2.6446631,5.6631489,46.337002,22.353001,70.481972,17.910673,5.9506273,2.8703914,111,19,110,19.21944,222
0.39999998,59,53,50,57.899162,19,41,482.55164,120.6379,1.8943491,3.1673148,4.1698556,40.799999,31.347,60.561447,15.863217,0.652978,0.50893843,298.22,0,296.98001,-0.000635805,481
0.39999998,63,75,80,63.457973,2,1,1168.4166,1168.4165,1.9001259,6.315371,8.7057533,23.164,16.902,36.823059,20.105457,3.0338099,2.2151659,110,14,109,13.851067,220
0.39999998,67,74,79,67.460526,12,43,608.90729,608.90729,1.9034833,3.6774685,6.0622935,20.885,26.261,27.677546,82.819115,1.177389,1.7253487,307.51999,4,306.28,3.9517674,496
0.39999998,76,65,59,75.698608,23,2,618.35486,206.11829,1.9051855,5.773716,8.7648201,26.853001,8.8100004,53.776402,1.2612146,0.56280327,0.17099288,248,3,246.75999,3.0842202,400
